EVI,LST,MNDWI,NDBI,NDVI,NO2_Emissions,Pop_Density,Relative_Humidity,SAVI,Wind_Speed,Longitude,Latitude,Building_Density_Ratio,Volume_Density,Dist_Water,Dist_Park,Dist_Highway,Street_Density,Height_Variability,SVF_Proxy,Air_Temp_C,Albedo,MODIS_LST,Soil_Moisture,Surface_Pressure_hPa,Relative_Wealth_Index,Dist_to_RWI_Node
0.931002943,34.25130086,-0.168084428,-0.003632575,0.159330711,0.000108441,14.91888905,44.01000801,0.238991854,1.316944944,77.62477117,12.90115495,0.393551308,,697.5995659,474.2980391,712.1902363,868.0631342,0.0,0.606448692,25.17601381,15168.6262,33.69,0.143544853,911.1730456,1.743,1041.753054996707
0.606022043,36.24400652,-0.153542489,0.033552978,0.103861555,0.000108441,14.61685371,44.01000801,0.155789885,1.316944944,77.62566949,12.90115495,1.041857229,,647.65671,561.5484282,628.6919161,361.5875311,0.0,0.0,25.17601381,15797.0612,33.69,0.143544853,911.1730456,1.743,1108.8609922562607
0.694663233,35.43564479,-0.143579945,-0.02354545,0.141123548,0.000108441,14.38339996,44.01000801,0.211681541,1.316944944,77.6265678,12.90115495,0.146930256,,550.1893253,651.7260928,545.1933616,122.2652634,0.0,0.853069744,25.17601381,14166.6467,34.02,0.143544853,911.1730456,1.743,1180.222930242208
0.955510979,33.05670287,-0.118502073,-0.027685868,0.134645805,0.000107904,9.48398304,44.01000801,0.201964504,1.316944944,77.63016107,12.90115495,0.454800897,30.01685923,161.2037621,944.9831182,211.1982388,476.710348,0.0,0.545199103,25.17601381,11729.6787,34.02,0.143544853,911.1730456,1.644,1356.2740809848804
0.305989216,36.51915713,-0.189254448,0.051527239,0.085466914,0.000107904,10.11580944,44.01000801,0.128198288,1.316944944,77.63375433,12.90115495,0.553077228,6.63692674,199.4826215,561.8339106,105.4354844,307.9689432,0.0,0.446922772,25.17601381,13925.2717,34.02,0.143544853,911.1730456,1.644,1060.9677950933547
0.473349582,37.81800473,-0.15204601,0.044307228,0.092990778,0.000107904,8.97981739,44.01000801,0.139483571,1.316944944,77.63555096,12.90115495,0.055583423,,376.1545039,369.3307581,272.7174111,607.2817992,0.0,0.944416577,25.17601381,12785.1002,34.55,0.143544853,911.1730456,1.644,939.6439611876626
1.178374265,31.22635316,-0.150239095,-0.047965415,0.178881794,0.00011424,9.998780251,44.01000801,0.268317516,1.316944944,77.55829584,12.90205327,0.264193341,,157.714833,25.2288201,1386.140499,1375.31957,0.0,0.735806659,25.17601381,12685.4192,34.45,0.133605331,911.1730456,1.649,927.3749271698238
0.599601591,33.30792734,-0.161570102,-0.010212372,0.127771944,0.00011427,7.882675648,44.01000801,0.191654339,1.316944944,77.5618891,12.90205327,0.130380155,,26.43049563,6.143747628,1102.919005,1798.451806,0.0,0.869619845,25.17601381,13317.4612,34.45,0.133605331,911.1730456,1.649,1226.4614489578769
0.710353262,33.19342367,-0.149931744,-0.007313586,0.115208566,0.00011427,9.768579483,44.01000801,0.172809648,1.316944944,77.56368573,12.90205327,0.340880688,,111.2437494,100.3281423,954.9510454,893.7035305,0.0,0.659119312,25.17601381,13182.1732,34.45,0.133605331,911.1730456,1.466,1353.558917518836
0.529378405,36.56188238,-0.177920327,0.023020601,0.110294104,0.00011427,14.47009373,44.01000801,0.16543825,1.316944944,77.56997394,12.90205327,0.287257872,,293.2645198,282.0499864,368.4420452,561.6027227,0.0,0.712742128,25.17601381,12866.7742,34.41,0.133605331,911.1730456,1.466,836.7918352630098
0.642337657,33.58820498,-0.145679235,0.004378892,0.113955624,0.000114245,11.99931812,44.01000801,0.170930298,1.316944944,77.57446552,12.90205327,0.913816008,,313.2936139,90.16812555,103.0796504,716.1812942,0.0,0.086183992,25.17601381,13120.3537,34.41,0.133605331,911.1730456,1.466,680.1630278022616
0.542481828,33.97102322,-0.130302429,0.001669834,0.10072162,0.000114245,7.964543819,44.01000801,0.151079592,1.316944944,77.57716046,12.90205327,0.448039471,,82.39975587,72.28123771,395.6737134,965.6620996,0.0,0.551960529,25.17601381,12447.0862,33.95,0.133605331,911.1730456,1.466,740.5573497521574
0.501056649,31.53568397,-0.109583162,0.006577138,0.077229694,0.000114245,5.215343475,44.01000801,0.115842599,1.316944944,77.57985541,12.90205327,0.074259105,,34.50365454,20.14692562,478.479565,961.7675904,0.0,0.925740895,25.17601381,12581.0212,33.95,0.133605331,911.1730456,1.466,897.4979643905413
0.584884465,33.78645014,-0.132624328,-0.006377398,0.109531403,0.000109656,10.36057663,44.01000801,0.164294172,1.316944944,77.59063519,12.90205327,0.97006614,,375.4612445,103.0899993,467.560253,1181.410471,0.0,0.02993386,25.17601381,13553.3672,33.57,0.133605331,911.1730456,1.561,927.0081243738242
0.587460799,34.82040119,-0.120050028,-0.022212224,0.114956148,0.000109656,13.24676514,44.01000801,0.172431073,1.316944944,77.59961835,12.90205327,0.770447935,,39.15538077,285.2750839,157.6753624,384.6459491,0.0,0.229552065,25.17601381,12829.8397,33.77,0.133605331,911.1730456,1.561,762.9503891052822
0.359407015,34.19832155,-0.144714206,0.008708746,0.084957071,0.000110806,10.78633118,44.01000801,0.127433304,1.316944944,77.60410992,12.90205327,0.521855316,,134.8168603,392.265833,307.6097612,1190.750459,0.0,0.478144684,25.17601381,13029.0332,33.49,0.143544853,911.1730456,1.561,1075.699115862519
0.71570995,36.11924879,-0.162430704,0.027743859,0.112973213,0.000110806,7.969013691,44.01000801,0.169456786,1.316944944,77.60680487,12.90205327,0.322957594,,132.0116509,189.1632452,593.2792469,326.5666221,0.0,0.677042406,25.17601381,13657.3287,33.49,0.143544853,911.1730456,1.561,1315.494392735318
0.85918431,32.37993491,-0.136364609,-0.030623835,0.158967718,0.000109583,3.63517642,44.01000801,0.238447319,1.316944944,77.61129644,12.90205327,0.201953909,,4.302110054,264.141684,1067.135226,344.2669178,0.0,0.798046091,25.17601381,12631.9892,33.02,0.143544853,911.1730456,1.743,1029.1017569250412
2.277356569,26.84445152,-0.038868088,-0.190641105,0.264698505,0.000109583,3.451201439,44.01000801,0.39703918,1.316944944,77.61488971,12.90205327,0.0,,0.0,344.3589585,1445.368723,0.0,0.0,1.0,25.17601381,9363.9712,33.02,0.143544853,911.1730456,1.743,780.1491088578817
1.066745024,31.53397496,-0.148647383,-0.041723635,0.178449571,0.000109583,4.886199951,44.01000801,0.267669294,1.316944944,77.61758465,12.90205327,0.243489611,,18.43082706,360.8107596,1328.013364,4341.163769,0.0,0.756510389,25.17601381,12774.9332,33.02,0.143544853,911.1730456,1.743,686.0392517682
0.393057481,34.48201721,-0.136667415,0.043405969,0.070434324,0.000108441,8.391005516,44.01000801,0.105649536,1.316944944,77.62117791,12.90205327,0.0,,294.9674482,133.3921716,994.5738657,1521.95956,0.0,1.0,25.17601381,12541.8007,33.69,0.143544853,911.1730456,1.743,743.7158220379512
0.425436843,35.45786192,-0.145394996,0.038803935,0.087524265,0.000108441,12.66172314,44.01000801,0.131283952,1.316944944,77.62297454,12.90205327,0.793570299,,486.4781468,255.5858088,827.6810145,481.1886268,0.0,0.206429701,25.17601381,12518.1817,33.69,0.143544853,911.1730456,1.743,841.7449705075675
0.414316128,34.80331109,-0.12473388,0.019539712,0.082859367,0.000108441,15.12295532,44.01000801,0.124286838,1.316944944,77.6265678,12.90205327,0.275185567,,560.1738687,623.5146552,493.7767612,424.3428219,0.0,0.724814433,25.17601381,13729.5017,34.02,0.143544853,911.1730456,1.743,1117.0310114960948
0.406427673,32.38847996,-0.082013972,-0.008457825,0.078780524,0.000108441,11.83102989,44.01000801,0.118168449,1.316944944,77.62836443,12.90205327,0.611574005,40.36388433,366.5537615,815.2833488,326.7794756,676.6588347,0.0,0.388425995,25.17601381,13056.8262,34.02,0.143544853,911.1730456,1.743,1277.3258091654495
